Project Name,Package Name,Type Name,Method Name,Code Smell
aem-modernize-tools,com.adobe.aem.modernize.structure.job,PageStructureJobExecutorTest,copy,Long Parameter List
aem-modernize-tools,com.adobe.aem.modernize.structure.job,PageStructureJobExecutorTest,doProcessReprocess,Magic Number
aem-modernize-tools,com.adobe.aem.modernize.structure.job,PageStructureJobExecutorTest,doProcessTargetPath,Magic Number
aem-modernize-tools,com.adobe.aem.modernize.structure.job,PageStructureJobExecutorTest,copy,Long Parameter List
aem-modernize-tools,com.adobe.aem.modernize.structure.rule,PageRewriteRule,moveRenamedNodes,Complex Method
aem-modernize-tools,com.adobe.aem.modernize.structure.rule,PageRewriteRule,activate,Complex Method
aem-modernize-tools,com.adobe.aem.modernize.structure.rule,PageRewriteRule,activate,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.structure.rule,PageRewriteRule,activate,Magic Number
aem-modernize-tools,com.adobe.aem.modernize.structure.rule,PageRewriteRule,activate,Magic Number
aem-modernize-tools,com.adobe.aem.modernize.structure.rule,PageRewriteRule,activate,Magic Number
aem-modernize-tools,com.adobe.aem.modernize.structure.rule,PageRewriteRule,activate,Magic Number
aem-modernize-tools,com.adobe.aem.modernize.structure.rule,PageRewriteRuleTest,beforeEach,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.structure.rule,PageRewriteRuleTest,testActivate,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.structure.rule,PageRewriteRuleTest,testActivate,Magic Number
aem-modernize-tools,com.adobe.aem.modernize.structure.rule,PageRewriteRuleTest,testActivate,Magic Number
aem-modernize-tools,com.adobe.aem.modernize.structure.rule,PageRewriteRuleTest,testActivate,Magic Number
aem-modernize-tools,com.adobe.aem.modernize.structure.rule,PageRewriteRuleTest,applyTo,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.structure.rule,PageRewriteRuleTest,applyTo,Long Statement
